57.7                60     0.3        2.059126
96.0                100    0.4        3.605551275
141.5               150    0.5        6.726812024
191.1               200    0.7        7.810249676
239.7               250    0.8        9.013878189
346.3               360    1.1        14.71869559
444.9               460    1.4        17.04230031
544.0               560    1.7        19.55095906
658                 680    3.0        28.56851414
738                 760    3.0        30.32886414
